City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,praia da vitoria,40,PT,1600053921,94,38.73,-27.07,73.0,13.53
364,pinega,100,RU,1600053922,93,64.7,43.39,49.5,11.01
365,usinsk,100,RU,1600053922,93,65.99,57.53,49.5,16.69
366,ardalstangen,100,NO,1600053729,97,61.24,7.7,48.99,3.49
367,nyuksenitsa,100,RU,1600053922,84,60.41,44.24,48.34,13.94
368,porto santo,20,PT,1600053922,83,33.07,-16.34,69.8,5.82
369,sorland,75,NO,1600053727,81,67.67,12.69,48.2,4.7
370,buraydah,0,SA,1600053923,35,26.33,43.98,73.4,2.24
371,zyryanovsk,3,KZ,1600053923,40,49.74,84.27,57.2,1.07
372,kumphawapi,40,TH,1600053923,70,17.11,103.01,86.0,4.7
373,catuday,70,PH,1600053923,76,16.29,119.81,83.68,1.16
374,holme,2,DK,1600053924,93,56.11,10.17,59.0,6.93
375,san cristobal,96,VE,1600053924,88,7.77,-72.22,66.67,3.04
376,san lawrenz,20,MT,1600053924,78,36.06,14.2,75.2,9.17
377,fort nelson,90,CA,1600053924,75,58.81,-122.7,41.0,3.36
378,iqaluit,90,CA,1600053924,65,63.75,-68.51,41.0,6.93
379,tazovskiy,97,RU,1600053925,89,67.47,78.7,47.55,6.15
380,okhotsk,68,RU,1600053925,47,59.38,143.3,63.01,5.41
381,khasan,78,RU,1600053925,68,42.43,130.64,65.95,11.21
382,manokwari,84,ID,1600053638,73,-0.87,134.08,83.79,4.16
383,surt,0,LY,1600053925,78,31.21,16.59,79.99,13.31
384,livingston,90,GB,1600053926,87,55.9,-3.52,61.0,13.87
385,mountain home,1,US,1600053796,17,43.13,-115.69,71.6,7.74
386,hambantota,75,LK,1600053926,88,6.12,81.12,82.4,9.17
387,oriximina,12,BR,1600053926,80,-1.77,-55.87,77.32,2.75
388,bage,90,BR,1600053926,93,-31.33,-54.11,60.8,5.82
389,isangel,90,VU,1600053926,78,-19.55,169.27,77.0,11.41
390,clevelandia,100,BR,1600053927,49,-26.4,-52.47,67.42,6.38
391,sao jose da coroa grande,5,BR,1600053927,77,-8.9,-35.15,73.58,8.59
392,stokmarknes,75,NO,1600053927,71,68.56,14.91,51.8,21.92
393,jacareacanga,45,BR,1600053927,49,-6.22,-57.75,81.19,1.12
394,manggar,69,ID,1600053928,67,-2.88,108.27,84.58,8.43
395,canton,100,CN,1600053874,37,23.12,113.25,91.0,7.14
396,henderson,1,US,1600053644,12,36.04,-114.98,91.4,6.93
397,mackay,10,AU,1600053651,65,-21.15,149.2,78.8,19.46
398,moldovita,7,RO,1600053928,77,47.68,25.53,63.0,8.05
